Text,BAL,BNP,NCP,BangladeshJamaat_e_Islami,JaPa
জামায়াত বিএনপি এই সব বাল ছাল বাদ দিয়ে তৃতীয় শক্তি হিসেবে প্রতিষ্ঠিত হ‌উন,2,3,1,3,2
ডারত বিরোধী ঐক্য; সাথে আছি,2,2,1,2,2
"ভবিষ্যৎ প্রজন্ম তোমাদের সাথেই আছে, ইনকিলাব জিন্দাবাদ।",2,2,1,2,2
ভালো সুশীল হয়ছে এরা এখনো সময় আছে বিপ্লবী হও,2,2,1,2,2
আপনাদের মহৎ কাজের জন্য আপনাদের প্রশংসা করতেই হয়,2,2,1,2,2
"আপনারা জুলাইয়ে নায়ক ছিলেন,দোয়া করি যাতে আল্লাহ আপনাদের হেদায়েত দিয়ে আবার সঠিক পথে ফিরে নিয়ে আসে।",2,2,1,2,2
শুভকামনা রইলো এনসিপি জিন্দাবাদ,2,2,1,2,2
"ইনকিলাব জিন্দাবাদ,এনসিপি জিন্দাবাদ",2,2,1,2,2
গণতন্ত্রের পুনরুদ্ধারকারী এনসিপি দল স্বৈরাচারী সরকারের পতনের পর মানুষের আশা ও বিশ্বাসের একমাত্র ঠিকানা হয়ে উঠেছে।,2,2,1,2,2
"ইনশাল্লাহ, আগামী নির্বাচনে আমরা এমসিপিকে শাপলা মার্কায় ভোট দিয়ে জয়যুক্ত করব।",2,2,1,2,2
"দেশের গণতন্ত্র, মানুষের অধিকার ও ন্যায় প্রতিষ্ঠায় এনসিবি দলই পথপ্রদর্শক।",2,2,1,2,2
ইনশাআল্লাহ এনসিপির সাথে আছি এবং ভবিষ্যতেও থাকবো,2,2,1,2,2
দেশের ভালোর জন্য এনসিপির উপর ভরসা রাখা ছাড়া আর কোন উপায় নাই।।,2,2,1,2,2
এনসিপির মাধ্যমে সাধারণ মানুষ সত্য ও ন্যায়ের সন্ধান পেয়েছে।,2,2,1,2,2
তারুণ্যের জয় হোক। যুবশক্তির জয় হোক।,2,2,1,2,2
এনসিপি জিন্দাবাদ শাপলা জিন্দাবাদ,2,2,1,2,2
এনসিপি শেষ বড়শা এখন,2,2,1,2,2
জাতীয় যুব শক্তি জিন্দা বাদ,2,2,1,2,2
"ধ্যনবাদ এনসিপি কে দেরিতে হলেও জামায়াতে ইসলামীর মুনাফেকি বন্ডামি বুঝতে পারা, এ-ই জামায়াতে ইসলামী আজকের বেইমান মুনাফেক না, সেই ১৯৪৭ সাল পরবর্তী থেকে এদের চরিত্র হচ্ছে বেইমানি মুনাফেকি বিশ্বাস ঘাতকতা",2,2,1,3,2
