Text,BAL,BNP,NCP,BangladeshJamaat_e_Islami,AB_Party,UPB,JaPa,GOP
শুভকামনা রইলো এনসিপি জিন্দাবাদ,2,2,1,2,2,2,2,2
"দেশতো এখন তোদের, তোরাই নির্ধারণ করে দিবি,যে কারা ক্ষমতায় যাবে? মাদারচোদকা বাচ্চে এনসিপি",2,2,4,2,2,2,2,2
ধোনসিপি নতুন করে আবার কোটা কোটা করলে শাউয়ার হাড্ডি একটাও লগে থাকবো না,2,2,4,2,2,2,2,2
এনসিপি ফটকাবাজ,2,2,3,2,2,2,2,2
"ইনকিলাব জিন্দাবাদ,এনসিপি জিন্দাবাদ",2,2,1,2,2,2,2,2
গণতন্ত্রের পুনরুদ্ধারকারী এনসিপি দল স্বৈরাচারী সরকারের পতনের পর মানুষের আশা ও বিশ্বাসের একমাত্র ঠিকানা হয়ে উঠেছে।,2,2,1,2,2,2,2,2
"ইনশাল্লাহ, আগামী নির্বাচনে আমরা এমসিপিকে শাপলা মার্কায় ভোট দিয়ে জয়যুক্ত করব।",2,2,1,2,2,2,2,2
"দেশের গণতন্ত্র, মানুষের অধিকার ও ন্যায় প্রতিষ্ঠায় এনসিবি দলই পথপ্রদর্শক।",2,2,1,2,2,2,2,2
ইনশাআল্লাহ এনসিপির সাথে আছি এবং ভবিষ্যতেও থাকবো,2,2,1,2,2,2,2,2
এন সি পি থেকে এখন পচা দুর্গন্ধ ছড়াচ্ছে,2,2,3,2,2,2,2,2
বাচ্চা পার্টি,2,2,3,2,2,2,2,2
জাতীয় চটি পার্টি (NCP),2,2,4,2,2,2,2,2
দেশের ভালোর জন্য এনসিপির উপর ভরসা রাখা ছাড়া আর কোন উপায় নাই।।,2,2,1,2,2,2,2,2
এনসিপির মাধ্যমে সাধারণ মানুষ সত্য ও ন্যায়ের সন্ধান পেয়েছে।,2,2,1,2,2,2,2,2
"শাপলা তো আজো দে নাই নির্বাচন কমিশন, এর পরেও শাপলা।",2,2,3,2,2,2,2,2
চান্দা দল এনসিপি,2,2,3,2,2,2,2,2
জুলাই বিক্রেতা,2,2,3,2,2,2,2,2
জুলাই অভ্যুত্থানের কলঙ্ক এনসিপি,2,2,3,2,2,2,2,2
"ছাপলা তগো হংগায় হইরে দিবাইন, হাংগেল ফোলা",2,2,4,2,2,2,2,2
ভবিষ্যতের ফুটবল হবে এনসিপি সবার লাথি খাবে।,2,2,3,2,2,2,2,2
"পদ্মা মেঘনা যমুনা, শাপলা কোন দলের না",2,2,3,2,2,2,2,2
জাতীয় কনডম পার্টি,2,2,4,2,2,2,2,2
ধোনসিপি জিন্দাবাদ,2,2,4,2,2,2,2,2
শুভকামনা এন সিপি,2,2,1,2,2,2,2,2
ইনশাআল্লাহ এনসিপির মার্কা বেগুন মার্কা,2,2,3,2,2,2,2,2
